id	name	state	lat	lon	ele	nfiles	nonpublic	recentfile	display	col
68	Albrechtshain	Sachsen	51.3015	12.5692	128	3	3	FALSE	rdwd::metaInfo(id=68)<br>name: Albrechtshain<br>state: Sachsen<br>lat: 51.3015<br>lon: 12.5692<br>ele:  128<br>n public files:  3<br>nonpublic:  3<br>recentfile: FALSE	red
71	Albstadt-Badkap	Baden-Wuerttemberg	48.2156	8.9784	759	49	13	TRUE	rdwd::metaInfo(id=71)<br>name: Albstadt-Badkap<br>state: Baden-Wuerttemberg<br>lat: 48.2156<br>lon:  8.9784<br>ele:  759<br>n public files: 49<br>nonpublic: 13<br>recentfile: TRUE	blue
69	Albstadt-Burgfelden	Baden-Wuerttemberg	48.2413	8.9329	911	3	3	FALSE	rdwd::metaInfo(id=69)<br>name: Albstadt-Burgfelden<br>state: Baden-Wuerttemberg<br>lat: 48.2413<br>lon:  8.9329<br>ele:  911<br>n public files:  3<br>nonpublic:  3<br>recentfile: FALSE	red
70	Albstadt-Ebingen	Baden-Wuerttemberg	48.2052	9.0371	712	15	15	FALSE	rdwd::metaInfo(id=70)<br>name: Albstadt-Ebingen<br>state: Baden-Wuerttemberg<br>lat: 48.2052<br>lon:  9.0371<br>ele:  712<br>n public files: 15<br>nonpublic: 15<br>recentfile: FALSE	red
72	Albstadt-Onstmettingen	Baden-Wuerttemberg	48.2766	9.0001	794	20	20	FALSE	rdwd::metaInfo(id=72)<br>name: Albstadt-Onstmettingen<br>state: Baden-Wuerttemberg<br>lat: 48.2766<br>lon:  9.0001<br>ele:  794<br>n public files: 20<br>nonpublic: 20<br>recentfile: FALSE	red
73	Aldersbach-Kriestorf	Bayern	48.6159	13.0506	340	51	11	TRUE	rdwd::metaInfo(id=73)<br>name: Aldersbach-Kriestorf<br>state: Bayern<br>lat: 48.6159<br>lon: 13.0506<br>ele:  340<br>n public files: 51<br>nonpublic: 11<br>recentfile: TRUE	blue
74	Alesheim	Bayern	49.05	10.8667	428	3	3	FALSE	rdwd::metaInfo(id=74)<br>name: Alesheim<br>state: Bayern<br>lat: 49.0500<br>lon: 10.8667<br>ele:  428<br>n public files:  3<br>nonpublic:  3<br>recentfile: FALSE	red
75	Alfdorf	Baden-Wuerttemberg	48.8412	9.7267	486	3	3	FALSE	rdwd::metaInfo(id=75)<br>name: Alfdorf<br>state: Baden-Wuerttemberg<br>lat: 48.8412<br>lon:  9.7267<br>ele:  486<br>n public files:  3<br>nonpublic:  3<br>recentfile: FALSE	red
76	Alfdorf-Pfahlbronn	Baden-Wuerttemberg	48.8354	9.6842	493	3	3	FALSE	rdwd::metaInfo(id=76)<br>name: Alfdorf-Pfahlbronn<br>state: Baden-Wuerttemberg<br>lat: 48.8354<br>lon:  9.6842<br>ele:  493<br>n public files:  3<br>nonpublic:  3<br>recentfile: FALSE	red
7367	Alfeld	Niedersachsen	51.9643	9.8072	144	71	0	TRUE	rdwd::metaInfo(id=7367)<br>name: Alfeld<br>state: Niedersachsen<br>lat: 51.9643<br>lon:  9.8072<br>ele:  144<br>n public files: 71<br>nonpublic:  0<br>recentfile: TRUE	blue
77	Alfeld/Leine	Niedersachsen	51.9917	9.8194	90	3	3	FALSE	rdwd::metaInfo(id=77)<br>name: Alfeld/Leine<br>state: Niedersachsen<br>lat: 51.9917<br>lon:  9.8194<br>ele:   90<br>n public files:  3<br>nonpublic:  3<br>recentfile: FALSE	red
78	Alfhausen	Niedersachsen	52.4853	7.9126	65	49	12	TRUE	rdwd::metaInfo(id=78)<br>name: Alfhausen<br>state: Niedersachsen<br>lat: 52.4853<br>lon:  7.9126<br>ele:   65<br>n public files: 49<br>nonpublic: 12<br>recentfile: TRUE	blue
79	Alfter-Volmershoven	Nordrhein-Westfalen	50.6718	7.0155	160	6	0	TRUE	rdwd::metaInfo(id=79)<br>name: Alfter-Volmershoven<br>state: Nordrhein-Westfalen<br>lat: 50.6718<br>lon:  7.0155<br>ele:  160<br>n public files:  6<br>nonpublic:  0<br>recentfile: TRUE	blue
80	Alheim-Heinebach	Hessen	51.0518	9.6617	195	3	3	FALSE	rdwd::metaInfo(id=80)<br>name: Alheim-Heinebach<br>state: Hessen<br>lat: 51.0518<br>lon:  9.6617<br>ele:  195<br>n public files:  3<br>nonpublic:  3<br>recentfile: FALSE	red
81	Allendorf/Eder-Osterfeld	Hessen	51.059	8.6521	378	4	4	FALSE	rdwd::metaInfo(id=81)<br>name: Allendorf/Eder-Osterfeld<br>state: Hessen<br>lat: 51.0590<br>lon:  8.6521<br>ele:  378<br>n public files:  4<br>nonpublic:  4<br>recentfile: FALSE	red
82	Allerdorf	Niedersachsen	53.0333	9.1833	18	3	3	FALSE	rdwd::metaInfo(id=82)<br>name: Allerdorf<br>state: Niedersachsen<br>lat: 53.0333<br>lon:  9.1833<br>ele:   18<br>n public files:  3<br>nonpublic:  3<br>recentfile: FALSE	red
83	Alleringersleben	Sachsen-Anhalt	52.213	11.1414	135	3	3	FALSE	rdwd::metaInfo(id=83)<br>name: Alleringersleben<br>state: Sachsen-Anhalt<br>lat: 52.2130<br>lon: 11.1414<br>ele:  135<br>n public files:  3<br>nonpublic:  3<br>recentfile: FALSE	red
84	Allersberg	Bayern	49.2507	11.243	385	3	3	FALSE	rdwd::metaInfo(id=84)<br>name: Allersberg<br>state: Bayern<br>lat: 49.2507<br>lon: 11.2430<br>ele:  385<br>n public files:  3<br>nonpublic:  3<br>recentfile: FALSE	red
15195	Allmersbach im Tal	Baden-Wuerttemberg	48.9116	9.4808	306	6	0	TRUE	rdwd::metaInfo(id=15195)<br>name: Allmersbach im Tal<br>state: Baden-Wuerttemberg<br>lat: 48.9116<br>lon:  9.4808<br>ele:  306<br>n public files:  6<br>nonpublic:  0<br>recentfile: TRUE	blue
85	Allrode	Sachsen-Anhalt	51.6765	10.9694	458	3	3	FALSE	rdwd::metaInfo(id=85)<br>name: Allrode<br>state: Sachsen-Anhalt<br>lat: 51.6765<br>lon: 10.9694<br>ele:  458<br>n public files:  3<br>nonpublic:  3<br>recentfile: FALSE	red
86	Allstedt	Sachsen-Anhalt	51.3998	11.3889	140	3	3	FALSE	rdwd::metaInfo(id=86)<br>name: Allstedt<br>state: Sachsen-Anhalt<br>lat: 51.3998<br>lon: 11.3889<br>ele:  140<br>n public files:  3<br>nonpublic:  3<br>recentfile: FALSE	red
14175	Alpen (WV NRW)	Nordrhein-Westfalen	51.5786	6.5095	22	0	6	FALSE	rdwd::metaInfo(id=14175)<br>name: Alpen (WV NRW)<br>state: Nordrhein-Westfalen<br>lat: 51.5786<br>lon:  6.5095<br>ele:   22<br>n public files:  0<br>nonpublic:  6<br>recentfile: FALSE	red
