id	name	state	lat	long	ele	all_elev	nfiles_coord	nfiles_id	recentfile	display
6	Aalen-Unterrombach	Baden-Wuerttemberg	48.8359	10.0597	456	456(2)	0 (+2)	0 (+3)	FALSE	rdwd::metaInfo(id=6)<br>name: Aalen-Unterrombach<br>state: Baden-Wuerttemberg<br>lat: 48.8359<br>long: 10.0597<br>ele:  456.00<br>all_elev: 456(2)<br>nfiles_coord: 0 (+2)<br>nfiles_id: 0 (+3)<br>recentfile: FALSE
8	Aarbergen-Panrod	Hessen	50.2546	8.131	307	307(4)	2 (+2)	2 (+2)	FALSE	rdwd::metaInfo(id=8)<br>name: Aarbergen-Panrod<br>state: Hessen<br>lat: 50.2546<br>long:  8.1310<br>ele:  307.00<br>all_elev: 307(4)<br>nfiles_coord: 2 (+2)<br>nfiles_id: 2 (+2)<br>recentfile: FALSE
9	Aarbergen-Rueckershausen	Hessen	50.2655	8.0516	200	200(4)	2 (+2)	2 (+2)	FALSE	rdwd::metaInfo(id=9)<br>name: Aarbergen-Rueckershausen<br>state: Hessen<br>lat: 50.2655<br>long:  8.0516<br>ele:  200.00<br>all_elev: 200(4)<br>nfiles_coord: 2 (+2)<br>nfiles_id: 2 (+2)<br>recentfile: FALSE
10	Abbach,Bad-Duenzling	Bayern	48.8857	12.1079	378	378(4)	2 (+2)	2 (+2)	FALSE	rdwd::metaInfo(id=10)<br>name: Abbach,Bad-Duenzling<br>state: Bayern<br>lat: 48.8857<br>long: 12.1079<br>ele:  378.00<br>all_elev: 378(4)<br>nfiles_coord: 2 (+2)<br>nfiles_id: 2 (+2)<br>recentfile: FALSE
12	Abbensen	Niedersachsen	52.3814	10.186	61	61(4)	2 (+2)	2 (+2)	FALSE	rdwd::metaInfo(id=12)<br>name: Abbensen<br>state: Niedersachsen<br>lat: 52.3814<br>long: 10.1860<br>ele:   61.00<br>all_elev: 61(4)<br>nfiles_coord: 2 (+2)<br>nfiles_id: 2 (+2)<br>recentfile: FALSE
13	Abberode	Sachsen-Anhalt	51.6154	11.2892	300	300(4)	2 (+2)	2 (+2)	FALSE	rdwd::metaInfo(id=13)<br>name: Abberode<br>state: Sachsen-Anhalt<br>lat: 51.6154<br>long: 11.2892<br>ele:  300.00<br>all_elev: 300(4)<br>nfiles_coord: 2 (+2)<br>nfiles_id: 2 (+2)<br>recentfile: FALSE
14	Abelitzmoor	Niedersachsen	53.5333	7.5	9	9(4)	2 (+2)	2 (+2)	FALSE	rdwd::metaInfo(id=14)<br>name: Abelitzmoor<br>state: Niedersachsen<br>lat: 53.5333<br>long:  7.5000<br>ele:    9.00<br>all_elev: 9(4)<br>nfiles_coord: 2 (+2)<br>nfiles_id: 2 (+2)<br>recentfile: FALSE
15	Abenberg	Bayern	49.2346	10.9668	390	390(4)	4	4	TRUE	rdwd::metaInfo(id=15)<br>name: Abenberg<br>state: Bayern<br>lat: 49.2346<br>long: 10.9668<br>ele:  390.00<br>all_elev: 390(4)<br>nfiles_coord: 4<br>nfiles_id: 4<br>recentfile:  TRUE
16	Abenberg-Wassermungenau	Bayern	49.2193	10.8845	370	370(4)	2 (+2)	2 (+2)	FALSE	rdwd::metaInfo(id=16)<br>name: Abenberg-Wassermungenau<br>state: Bayern<br>lat: 49.2193<br>long: 10.8845<br>ele:  370.00<br>all_elev: 370(4)<br>nfiles_coord: 2 (+2)<br>nfiles_id: 2 (+2)<br>recentfile: FALSE
17	Abensberg-Sandharlanden	Bayern	48.8421	11.8194	380	380(4)	2 (+2)	2 (+2)	FALSE	rdwd::metaInfo(id=17)<br>name: Abensberg-Sandharlanden<br>state: Bayern<br>lat: 48.8421<br>long: 11.8194<br>ele:  380.00<br>all_elev: 380(4)<br>nfiles_coord: 2 (+2)<br>nfiles_id: 2 (+2)<br>recentfile: FALSE
18	Abentheuerhuette	Rheinland-Pfalz	49.65	7.0833	420	420(4)	2 (+2)	2 (+2)	FALSE	rdwd::metaInfo(id=18)<br>name: Abentheuerhuette<br>state: Rheinland-Pfalz<br>lat: 49.6500<br>long:  7.0833<br>ele:  420.00<br>all_elev: 420(4)<br>nfiles_coord: 2 (+2)<br>nfiles_id: 2 (+2)<br>recentfile: FALSE
19	Abtsgmuend-Neubronn	Baden-Wuerttemberg	48.8795	9.971	471	471(3)	3	4	TRUE	rdwd::metaInfo(id=19)<br>name: Abtsgmuend-Neubronn<br>state: Baden-Wuerttemberg<br>lat: 48.8795<br>long:  9.9710<br>ele:  471.00<br>all_elev: 471(3)<br>nfiles_coord: 3<br>nfiles_id: 4<br>recentfile:  TRUE
19	Abtsgmuend-Neubronn	Baden-Wuerttemberg	48.8796	9.9707	471	471(1)	1	4	FALSE	rdwd::metaInfo(id=19)<br>name: Abtsgmuend-Neubronn<br>state: Baden-Wuerttemberg<br>lat: 48.8796<br>long:  9.9707<br>ele:  471.00<br>all_elev: 471(1)<br>nfiles_coord: 1<br>nfiles_id: 4<br>recentfile: FALSE
20	Abtsgmuend-Untergroeningen	Baden-Wuerttemberg	48.922	9.9129	432	432(5)	5	6	TRUE	rdwd::metaInfo(id=20)<br>name: Abtsgmuend-Untergroeningen<br>state: Baden-Wuerttemberg<br>lat: 48.9220<br>long:  9.9129<br>ele:  432.00<br>all_elev: 432(5)<br>nfiles_coord: 5<br>nfiles_id: 6<br>recentfile:  TRUE
20	Abtsgmuend-Untergroeningen	Baden-Wuerttemberg	48.922	9.9127	432	432(1)	1	6	FALSE	rdwd::metaInfo(id=20)<br>name: Abtsgmuend-Untergroeningen<br>state: Baden-Wuerttemberg<br>lat: 48.9220<br>long:  9.9127<br>ele:  432.00<br>all_elev: 432(1)<br>nfiles_coord: 1<br>nfiles_id: 6<br>recentfile: FALSE
21	Achberg-Doberatsweiler	Baden-Wuerttemberg	47.6105	9.6983	498	498(4)	4	4	TRUE	rdwd::metaInfo(id=21)<br>name: Achberg-Doberatsweiler<br>state: Baden-Wuerttemberg<br>lat: 47.6105<br>long:  9.6983<br>ele:  498.00<br>all_elev: 498(4)<br>nfiles_coord: 4<br>nfiles_id: 4<br>recentfile:  TRUE
22	Achern-Fautenbach	Baden-Wuerttemberg	48.6317	8.0466	138	138(3)	3	4	TRUE	rdwd::metaInfo(id=22)<br>name: Achern-Fautenbach<br>state: Baden-Wuerttemberg<br>lat: 48.6317<br>long:  8.0466<br>ele:  138.00<br>all_elev: 138(3)<br>nfiles_coord: 3<br>nfiles_id: 4<br>recentfile:  TRUE
22	Achern-Fautenbach	Baden-Wuerttemberg	48.6318	8.0463	138	138(1)	1	4	FALSE	rdwd::metaInfo(id=22)<br>name: Achern-Fautenbach<br>state: Baden-Wuerttemberg<br>lat: 48.6318<br>long:  8.0463<br>ele:  138.00<br>all_elev: 138(1)<br>nfiles_coord: 1<br>nfiles_id: 4<br>recentfile: FALSE
23	Achim	Niedersachsen	53.016	9.0411	28	28(2)	2	4	FALSE	rdwd::metaInfo(id=23)<br>name: Achim<br>state: Niedersachsen<br>lat: 53.0160<br>long:  9.0411<br>ele:   28.00<br>all_elev: 28(2)<br>nfiles_coord: 2<br>nfiles_id: 4<br>recentfile: FALSE
23	Achim-Embsen	Niedersachsen	53.0311	9.0233	8	8(2)	2	4	TRUE	rdwd::metaInfo(id=23)<br>name: Achim-Embsen<br>state: Niedersachsen<br>lat: 53.0311<br>long:  9.0233<br>ele:    8.00<br>all_elev: 8(2)<br>nfiles_coord: 2<br>nfiles_id: 4<br>recentfile:  TRUE
24	Achthal	Bayern	47.8333	12.7833	582	582(4)	2 (+2)	2 (+2)	FALSE	rdwd::metaInfo(id=24)<br>name: Achthal<br>state: Bayern<br>lat: 47.8333<br>long: 12.7833<br>ele:  582.00<br>all_elev: 582(4)<br>nfiles_coord: 2 (+2)<br>nfiles_id: 2 (+2)<br>recentfile: FALSE
25	Adelberg	Baden-Wuerttemberg	48.7667	9.6	474	474(4)	2 (+2)	2 (+2)	FALSE	rdwd::metaInfo(id=25)<br>name: Adelberg<br>state: Baden-Wuerttemberg<br>lat: 48.7667<br>long:  9.6000<br>ele:  474.00<br>all_elev: 474(4)<br>nfiles_coord: 2 (+2)<br>nfiles_id: 2 (+2)<br>recentfile: FALSE
26	Adelheidsdorf	Niedersachsen	52.5503	10.0544	41	41(4)	2 (+2)	2 (+2)	FALSE	rdwd::metaInfo(id=26)<br>name: Adelheidsdorf<br>state: Niedersachsen<br>lat: 52.5503<br>long: 10.0544<br>ele:   41.00<br>all_elev: 41(4)<br>nfiles_coord: 2 (+2)<br>nfiles_id: 2 (+2)<br>recentfile: FALSE
27	Adelholzen, Bad	Bayern	47.8167	12.6167	657	657(4)	2 (+2)	2 (+2)	FALSE	rdwd::metaInfo(id=27)<br>name: Adelholzen, Bad<br>state: Bayern<br>lat: 47.8167<br>long: 12.6167<br>ele:  657.00<br>all_elev: 657(4)<br>nfiles_coord: 2 (+2)<br>nfiles_id: 2 (+2)<br>recentfile: FALSE
28	Adelmannsfelden	Baden-Wuerttemberg	48.954	10.006	470	470(4)	2 (+2)	2 (+2)	FALSE	rdwd::metaInfo(id=28)<br>name: Adelmannsfelden<br>state: Baden-Wuerttemberg<br>lat: 48.9540<br>long: 10.0060<br>ele:  470.00<br>all_elev: 470(4)<br>nfiles_coord: 2 (+2)<br>nfiles_id: 2 (+2)<br>recentfile: FALSE
29	Adelsdorf (Klaeranlage)	Bayern	49.7175	10.9101	260	260(5)	0 (+5)	0 (+5)	FALSE	rdwd::metaInfo(id=29)<br>name: Adelsdorf (Klaeranlage)<br>state: Bayern<br>lat: 49.7175<br>long: 10.9101<br>ele:  260.00<br>all_elev: 260(5)<br>nfiles_coord: 0 (+5)<br>nfiles_id: 0 (+5)<br>recentfile: FALSE
30	Adelsheim	Baden-Wuerttemberg	49.4064	9.3914	260	260(4)	2 (+2)	2 (+2)	FALSE	rdwd::metaInfo(id=30)<br>name: Adelsheim<br>state: Baden-Wuerttemberg<br>lat: 49.4064<br>long:  9.3914<br>ele:  260.00<br>all_elev: 260(4)<br>nfiles_coord: 2 (+2)<br>nfiles_id: 2 (+2)<br>recentfile: FALSE
31	Adendorf	Niedersachsen	53.2833	10.4333	25	25(4)	2 (+2)	2 (+2)	FALSE	rdwd::metaInfo(id=31)<br>name: Adendorf<br>state: Niedersachsen<br>lat: 53.2833<br>long: 10.4333<br>ele:   25.00<br>all_elev: 25(4)<br>nfiles_coord: 2 (+2)<br>nfiles_id: 2 (+2)<br>recentfile: FALSE
32	Adenstedt	Niedersachsen	52	9.9333	194	194(4)	2 (+2)	2 (+2)	FALSE	rdwd::metaInfo(id=32)<br>name: Adenstedt<br>state: Niedersachsen<br>lat: 52.0000<br>long:  9.9333<br>ele:  194.00<br>all_elev: 194(4)<br>nfiles_coord: 2 (+2)<br>nfiles_id: 2 (+2)<br>recentfile: FALSE
33	Aderstedt	Sachsen-Anhalt	52.0286	10.9994	93	93(4)	2 (+2)	2 (+2)	FALSE	rdwd::metaInfo(id=33)<br>name: Aderstedt<br>state: Sachsen-Anhalt<br>lat: 52.0286<br>long: 10.9994<br>ele:   93.00<br>all_elev: 93(4)<br>nfiles_coord: 2 (+2)<br>nfiles_id: 2 (+2)<br>recentfile: FALSE
34	Adolzfurt	Baden-Wuerttemberg	49.1667	9.45	220	220(4)	2 (+2)	2 (+2)	FALSE	rdwd::metaInfo(id=34)<br>name: Adolzfurt<br>state: Baden-Wuerttemberg<br>lat: 49.1667<br>long:  9.4500<br>ele:  220.00<br>all_elev: 220(4)<br>nfiles_coord: 2 (+2)<br>nfiles_id: 2 (+2)<br>recentfile: FALSE
35	Adorf	Sachsen	50.3119	12.1877	480	480(4)	2 (+2)	2 (+2)	FALSE	rdwd::metaInfo(id=35)<br>name: Adorf<br>state: Sachsen<br>lat: 50.3119<br>long: 12.1877<br>ele:  480.00<br>all_elev: 480(4)<br>nfiles_coord: 2 (+2)<br>nfiles_id: 2 (+2)<br>recentfile: FALSE
36	Aerzen-Reher	Niedersachsen	52.0308	9.235	115	115(4)	2 (+2)	2 (+2)	FALSE	rdwd::metaInfo(id=36)<br>name: Aerzen-Reher<br>state: Niedersachsen<br>lat: 52.0308<br>long:  9.2350<br>ele:  115.00<br>all_elev: 115(4)<br>nfiles_coord: 2 (+2)<br>nfiles_id: 2 (+2)<br>recentfile: FALSE
37	Affing	Bayern	48.4612	10.9795	470	470(4)	2 (+2)	2 (+2)	FALSE	rdwd::metaInfo(id=37)<br>name: Affing<br>state: Bayern<br>lat: 48.4612<br>long: 10.9795<br>ele:  470.00<br>all_elev: 470(4)<br>nfiles_coord: 2 (+2)<br>nfiles_id: 2 (+2)<br>recentfile: FALSE
7374	Ahaus	Nordrhein-Westfalen	52.0828	6.9417	46	46(1)	1	24	FALSE	rdwd::metaInfo(id=7374)<br>name: Ahaus<br>state: Nordrhein-Westfalen<br>lat: 52.0828<br>long:  6.9417<br>ele:   46.00<br>all_elev: 46(1)<br>nfiles_coord: 1<br>nfiles_id: 24<br>recentfile: FALSE
7374	Ahaus	Nordrhein-Westfalen	52.0814	6.941	45.93	45.5(3)_46(20)	23	24	TRUE	rdwd::metaInfo(id=7374)<br>name: Ahaus<br>state: Nordrhein-Westfalen<br>lat: 52.0814<br>long:  6.9410<br>ele:   45.93<br>all_elev: 45.5(3)_46(20)<br>nfiles_coord: 23<br>nfiles_id: 24<br>recentfile:  TRUE
38	Ahaus (Wieselweg)	Nordrhein-Westfalen	52.09	7.0095	52	52(4)	2 (+2)	2 (+2)	FALSE	rdwd::metaInfo(id=38)<br>name: Ahaus (Wieselweg)<br>state: Nordrhein-Westfalen<br>lat: 52.0900<br>long:  7.0095<br>ele:   52.00<br>all_elev: 52(4)<br>nfiles_coord: 2 (+2)<br>nfiles_id: 2 (+2)<br>recentfile: FALSE
39	Ahausen	Niedersachsen	53.0585	9.3092	29	29(4)	2 (+2)	2 (+2)	FALSE	rdwd::metaInfo(id=39)<br>name: Ahausen<br>state: Niedersachsen<br>lat: 53.0585<br>long:  9.3092<br>ele:   29.00<br>all_elev: 29(4)<br>nfiles_coord: 2 (+2)<br>nfiles_id: 2 (+2)<br>recentfile: FALSE
40	Ahlbeck	Mecklenburg-Vorpommern	53.6674	14.1823	5	5(4)	2 (+2)	2 (+2)	FALSE	rdwd::metaInfo(id=40)<br>name: Ahlbeck<br>state: Mecklenburg-Vorpommern<br>lat: 53.6674<br>long: 14.1823<br>ele:    5.00<br>all_elev: 5(4)<br>nfiles_coord: 2 (+2)<br>nfiles_id: 2 (+2)<br>recentfile: FALSE
41	Ahlden	Niedersachsen	52.7616	9.5544	23	23(4)	4	4	TRUE	rdwd::metaInfo(id=41)<br>name: Ahlden<br>state: Niedersachsen<br>lat: 52.7616<br>long:  9.5544<br>ele:   23.00<br>all_elev: 23(4)<br>nfiles_coord: 4<br>nfiles_id: 4<br>recentfile:  TRUE
43	Ahlen (Falkenberger Moor)	Niedersachsen	53.7	8.7833	3	3(4)	2 (+2)	2 (+2)	FALSE	rdwd::metaInfo(id=43)<br>name: Ahlen (Falkenberger Moor)<br>state: Niedersachsen<br>lat: 53.7000<br>long:  8.7833<br>ele:    3.00<br>all_elev: 3(4)<br>nfiles_coord: 2 (+2)<br>nfiles_id: 2 (+2)<br>recentfile: FALSE
42	Ahlen in Westfalen	Nordrhein-Westfalen	51.7736	7.8738	70	70(4)	2 (+2)	2 (+2)	FALSE	rdwd::metaInfo(id=42)<br>name: Ahlen in Westfalen<br>state: Nordrhein-Westfalen<br>lat: 51.7736<br>long:  7.8738<br>ele:   70.00<br>all_elev: 70(4)<br>nfiles_coord: 2 (+2)<br>nfiles_id: 2 (+2)<br>recentfile: FALSE
45	Ahnatal-Weimar	Hessen	51.374	9.4042	298	298(4)	2 (+2)	2 (+2)	FALSE	rdwd::metaInfo(id=45)<br>name: Ahnatal-Weimar<br>state: Hessen<br>lat: 51.3740<br>long:  9.4042<br>ele:  298.00<br>all_elev: 298(4)<br>nfiles_coord: 2 (+2)<br>nfiles_id: 2 (+2)<br>recentfile: FALSE
46	Aholfing	Bayern	48.9448	12.4632	330	330(3)	0 (+3)	0 (+5)	FALSE	rdwd::metaInfo(id=46)<br>name: Aholfing<br>state: Bayern<br>lat: 48.9448<br>long: 12.4632<br>ele:  330.00<br>all_elev: 330(3)<br>nfiles_coord: 0 (+3)<br>nfiles_id: 0 (+5)<br>recentfile: FALSE
46	Aholfing	Bayern	48.945	12.4639	325	325(2)	0 (+2)	0 (+5)	FALSE	rdwd::metaInfo(id=46)<br>name: Aholfing<br>state: Bayern<br>lat: 48.9450<br>long: 12.4639<br>ele:  325.00<br>all_elev: 325(2)<br>nfiles_coord: 0 (+2)<br>nfiles_id: 0 (+5)<br>recentfile: FALSE
47	Ahorn-Eubigheim	Baden-Wuerttemberg	49.4997	9.5439	338	338(5)	0 (+5)	0 (+5)	FALSE	rdwd::metaInfo(id=47)<br>name: Ahorn-Eubigheim<br>state: Baden-Wuerttemberg<br>lat: 49.4997<br>long:  9.5439<br>ele:  338.00<br>all_elev: 338(5)<br>nfiles_coord: 0 (+5)<br>nfiles_id: 0 (+5)<br>recentfile: FALSE
48	Ahorntal-Kirchahorn	Bayern	49.8364	11.4025	410	410(4)	2 (+2)	2 (+2)	FALSE	rdwd::metaInfo(id=48)<br>name: Ahorntal-Kirchahorn<br>state: Bayern<br>lat: 49.8364<br>long: 11.4025<br>ele:  410.00<br>all_elev: 410(4)<br>nfiles_coord: 2 (+2)<br>nfiles_id: 2 (+2)<br>recentfile: FALSE
49	Ahorntal-Weiher	Bayern	49.8383	11.4072	398	398(2)	1 (+1)	1 (+1)	FALSE	rdwd::metaInfo(id=49)<br>name: Ahorntal-Weiher<br>state: Bayern<br>lat: 49.8383<br>long: 11.4072<br>ele:  398.00<br>all_elev: 398(2)<br>nfiles_coord: 1 (+1)<br>nfiles_id: 1 (+1)<br>recentfile: FALSE
105	Ahrbrueck	Rheinland-Pfalz	50.4844	6.9712	195	195(4)	4	4	TRUE	rdwd::metaInfo(id=105)<br>name: Ahrbrueck<br>state: Rheinland-Pfalz<br>lat: 50.4844<br>long:  6.9712<br>ele:  195.00<br>all_elev: 195(4)<br>nfiles_coord: 4<br>nfiles_id: 4<br>recentfile:  TRUE
50	Ahrendsberg	Niedersachsen	51.85	10.4667	549	549(4)	2 (+2)	2 (+2)	FALSE	rdwd::metaInfo(id=50)<br>name: Ahrendsberg<br>state: Niedersachsen<br>lat: 51.8500<br>long: 10.4667<br>ele:  549.00<br>all_elev: 549(4)<br>nfiles_coord: 2 (+2)<br>nfiles_id: 2 (+2)<br>recentfile: FALSE
51	Ahrensboek	Schleswig-Holstein	54.0167	10.5667	60	60(4)	2 (+2)	2 (+2)	FALSE	rdwd::metaInfo(id=51)<br>name: Ahrensboek<br>state: Schleswig-Holstein<br>lat: 54.0167<br>long: 10.5667<br>ele:   60.00<br>all_elev: 60(4)<br>nfiles_coord: 2 (+2)<br>nfiles_id: 2 (+2)<br>recentfile: FALSE
52	Ahrensburg-Wulfsdorf	Schleswig-Holstein	53.6623	10.199	46	46(17)	8 (+9)	9 (+9)	FALSE	rdwd::metaInfo(id=52)<br>name: Ahrensburg-Wulfsdorf<br>state: Schleswig-Holstein<br>lat: 53.6623<br>long: 10.1990<br>ele:   46.00<br>all_elev: 46(17)<br>nfiles_coord: 8 (+9)<br>nfiles_id: 9 (+9)<br>recentfile: FALSE
52	Ahrensburg-Wulfsdorf	Schleswig-Holstein	53.6639	10.2003	46	46(1)	1	9 (+9)	FALSE	rdwd::metaInfo(id=52)<br>name: Ahrensburg-Wulfsdorf<br>state: Schleswig-Holstein<br>lat: 53.6639<br>long: 10.2003<br>ele:   46.00<br>all_elev: 46(1)<br>nfiles_coord: 1<br>nfiles_id: 9 (+9)<br>recentfile: FALSE
53	Ahrensfelde	Brandenburg	52.585	13.5634	60	60(3)	3	6	TRUE	rdwd::metaInfo(id=53)<br>name: Ahrensfelde<br>state: Brandenburg<br>lat: 52.5850<br>long: 13.5634<br>ele:   60.00<br>all_elev: 60(3)<br>nfiles_coord: 3<br>nfiles_id: 6<br>recentfile:  TRUE
53	Ahrensfelde	Brandenburg	52.585	13.5635	60	60(3)	3	6	FALSE	rdwd::metaInfo(id=53)<br>name: Ahrensfelde<br>state: Brandenburg<br>lat: 52.5850<br>long: 13.5635<br>ele:   60.00<br>all_elev: 60(3)<br>nfiles_coord: 3<br>nfiles_id: 6<br>recentfile: FALSE
54	Ahrenshoeft	Schleswig-Holstein	54.5667	9.0667	5	5(4)	2 (+2)	2 (+2)	FALSE	rdwd::metaInfo(id=54)<br>name: Ahrenshoeft<br>state: Schleswig-Holstein<br>lat: 54.5667<br>long:  9.0667<br>ele:    5.00<br>all_elev: 5(4)<br>nfiles_coord: 2 (+2)<br>nfiles_id: 2 (+2)<br>recentfile: FALSE
55	Aibling, Bad-Ellmosen	Bayern	47.878	12.0239	509	509(4)	4	4	TRUE	rdwd::metaInfo(id=55)<br>name: Aibling, Bad-Ellmosen<br>state: Bayern<br>lat: 47.8780<br>long: 12.0239<br>ele:  509.00<br>all_elev: 509(4)<br>nfiles_coord: 4<br>nfiles_id: 4<br>recentfile:  TRUE
56	Aichach	Bayern	48.45	11.1333	444	444(4)	2 (+2)	2 (+2)	FALSE	rdwd::metaInfo(id=56)<br>name: Aichach<br>state: Bayern<br>lat: 48.4500<br>long: 11.1333<br>ele:  444.00<br>all_elev: 444(4)<br>nfiles_coord: 2 (+2)<br>nfiles_id: 2 (+2)<br>recentfile: FALSE
58	Aichstetten	Baden-Wuerttemberg	47.8922	10.0796	623	623(4)	2 (+2)	2 (+2)	FALSE	rdwd::metaInfo(id=58)<br>name: Aichstetten<br>state: Baden-Wuerttemberg<br>lat: 47.8922<br>long: 10.0796<br>ele:  623.00<br>all_elev: 623(4)<br>nfiles_coord: 2 (+2)<br>nfiles_id: 2 (+2)<br>recentfile: FALSE
59	Aiglsbach	Bayern	48.6929	11.7022	405	405(4)	2 (+2)	2 (+2)	FALSE	rdwd::metaInfo(id=59)<br>name: Aiglsbach<br>state: Bayern<br>lat: 48.6929<br>long: 11.7022<br>ele:  405.00<br>all_elev: 405(4)<br>nfiles_coord: 2 (+2)<br>nfiles_id: 2 (+2)<br>recentfile: FALSE
60	Aislingen	Bayern	48.5032	10.4591	460	460(4)	2 (+2)	2 (+2)	FALSE	rdwd::metaInfo(id=60)<br>name: Aislingen<br>state: Bayern<br>lat: 48.5032<br>long: 10.4591<br>ele:  460.00<br>all_elev: 460(4)<br>nfiles_coord: 2 (+2)<br>nfiles_id: 2 (+2)<br>recentfile: FALSE
61	Aiterhofen	Bayern	48.8443	12.6171	339	339(9)	4 (+5)	4 (+5)	FALSE	rdwd::metaInfo(id=61)<br>name: Aiterhofen<br>state: Bayern<br>lat: 48.8443<br>long: 12.6171<br>ele:  339.00<br>all_elev: 339(9)<br>nfiles_coord: 4 (+5)<br>nfiles_id: 4 (+5)<br>recentfile: FALSE
62	Aitern-Untermulten	Baden-Wuerttemberg	47.8191	7.8569	1018	1018(4)	2 (+2)	2 (+2)	FALSE	rdwd::metaInfo(id=62)<br>name: Aitern-Untermulten<br>state: Baden-Wuerttemberg<br>lat: 47.8191<br>long:  7.8569<br>ele: 1018.00<br>all_elev: 1018(4)<br>nfiles_coord: 2 (+2)<br>nfiles_id: 2 (+2)<br>recentfile: FALSE
63	Aitrang	Bayern	47.8172	10.5374	747	747(4)	4	4	TRUE	rdwd::metaInfo(id=63)<br>name: Aitrang<br>state: Bayern<br>lat: 47.8172<br>long: 10.5374<br>ele:  747.00<br>all_elev: 747(4)<br>nfiles_coord: 4<br>nfiles_id: 4<br>recentfile:  TRUE
